Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
CFG,2024-01-12,29.41811180114746,2024-01-29,31.8541202545166,0.08064296830102768,17,BB_lower_cross (z=-2.48),BB_upper_cross,2024-01-12,2024-01-29
CZR,2024-01-12,44.400001525878906,2024-03-27,43.36000061035156,-0.025374645150034847,75,BB_lower_cross (z=-1.63),BB_upper_cross,2024-01-12,2024-03-27
EMN,2024-01-12,82.43880462646484,2024-02-21,81.2818374633789,-0.01600421600867652,40,BB_lower_cross (z=-1.70),BB_upper_cross,2024-01-12,2024-02-21
MGM,2024-01-12,42.369998931884766,2024-02-08,46.43000030517578,0.09363309511269713,27,BB_lower_cross (z=-2.28),BB_upper_cross,2024-01-12,2024-02-08
MTB,2024-01-12,126.99445343017578,2024-01-22,135.47792053222656,0.0646703987797217,10,BB_lower_cross (z=-1.62),BB_upper_cross,2024-01-12,2024-01-22
DRI,2024-01-12,149.61534118652344,2024-01-29,155.79495239257812,0.0392227998369481,17,BB_lower_cross (z=-2.31),BB_upper_cross,2024-01-12,2024-01-29
HUM,2024-01-12,430.78948974609375,2024-05-09,329.474609375,-0.23671230084795847,118,BB_lower_cross (z=-2.64),BB_upper_cross,2024-01-12,2024-05-09
COF,2024-01-12,124.85623931884766,2024-01-26,135.63082885742188,0.08412554253458815,14,BB_lower_cross (z=-1.64),BB_upper_cross,2024-01-12,2024-01-26
HBAN,2024-01-12,11.734859466552734,2024-02-29,12.222248077392578,0.039452414072849606,48,BB_lower_cross (z=-1.53),BB_upper_cross,2024-01-12,2024-02-29
LII,2024-01-12,425.3284606933594,2024-01-22,448.9386901855469,0.05340166763162246,10,BB_lower_cross (z=-1.52),BB_upper_cross,2024-01-12,2024-01-22
APTV,2024-01-12,80.87999725341797,2024-03-13,79.72000122070312,-0.016311533126056932,61,BB_lower_cross (z=-1.87),BB_upper_cross,2024-01-12,2024-03-13
BAC,2024-01-12,31.59923553466797,2024-01-30,33.516387939453125,0.05855162517100965,18,BB_lower_cross (z=-2.09),BB_upper_cross,2024-01-12,2024-01-30
RJF,2024-01-12,106.86617279052734,2024-01-22,111.16510009765624,0.038148827721348644,10,BB_lower_cross (z=-1.81),BB_upper_cross,2024-01-12,2024-01-22
KMX,2024-01-12,69.58999633789062,2024-02-09,74.79000091552734,0.07257614990887684,28,BB_lower_cross (z=-2.08),BB_upper_cross,2024-01-12,2024-02-09
RL,2024-01-12,134.80593872070312,2024-01-30,143.04940795898438,0.05903045749233082,18,BB_lower_cross (z=-2.60),BB_upper_cross,2024-01-12,2024-01-30
BBY,2024-01-12,68.94911193847656,2024-02-23,71.20819854736328,0.030701084124242328,42,BB_lower_cross (z=-1.95),BB_upper_cross,2024-01-12,2024-02-23
FSLR,2024-01-12,160.44000244140625,2024-02-12,157.22000122070312,-0.022027717797864277,31,BB_lower_cross (z=-1.54),BB_upper_cross,2024-01-12,2024-02-12
ITW,2024-01-12,244.91275024414065,2024-01-29,255.10009765625,0.03951471247476723,17,BB_lower_cross (z=-1.61),BB_upper_cross,2024-01-12,2024-01-29
BEN,2024-01-12,26.04710578918457,2024-02-12,25.78113174438477,-0.012188870429806431,31,BB_lower_cross (z=-1.66),BB_upper_cross,2024-01-12,2024-02-12
IPG,2024-01-12,29.865947723388672,2024-01-29,31.20183563232422,0.042642094963672994,17,BB_lower_cross (z=-2.16),BB_upper_cross,2024-01-12,2024-01-29
IEX,2024-01-12,202.70358276367188,2024-01-30,209.32614135742188,0.030607868200915433,18,BB_lower_cross (z=-1.93),BB_upper_cross,2024-01-12,2024-01-30
IDXX,2024-01-12,535.2899780273438,2024-02-05,572.1199951171875,0.06666838846491485,24,BB_lower_cross (z=-1.52),BB_upper_cross,2024-01-12,2024-02-05
GM,2024-01-12,34.698143005371094,2024-01-30,37.54208755493164,0.07980067933860369,18,BB_lower_cross (z=-1.70),BB_upper_cross,2024-01-12,2024-01-30
UAL,2024-01-12,39.77999877929688,2024-02-20,43.459999084472656,0.09032597411847743,39,BB_lower_cross (z=-1.70),BB_upper_cross,2024-01-12,2024-02-20
